stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Programming\C Workspace\Final_Project\tutorial\task3\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.02176] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02178] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02180] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02182] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02183] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02185] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02187] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02188] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02190] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02192] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02194] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02195] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02197] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02199] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02206] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02209] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02211] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02212] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02214] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02216] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02217] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02219] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02223] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02225] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02227] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02228] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.02230] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02232] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02234] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02236] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02237] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02239] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02241] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02243] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02244] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02246] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02248] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02250] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02251] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02253] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02255] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02257] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02258] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02260] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02262] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02264] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02266] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02267] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02269] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02271] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02273] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02274] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02276] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02278] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02280] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02281] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02283] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02285] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02287] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02289] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02290] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02292] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02294] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02296] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02297] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02299] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02301] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02303] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02304] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02306] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02308] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02310] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02312] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02313] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02315] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02317] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02319] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02322] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02323] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02325] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02327] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02329] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02331] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02333] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02334] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02336] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02338] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02340] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02341] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02343] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02345] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02347] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02350] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02352] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02354] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02356] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02357] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02359] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02361] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02363] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02364] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02366] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02368] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02369] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02371] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02373] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02375] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02380] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02382] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02384] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02386] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02388] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02389] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02391] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02393] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02395] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02396] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02398] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02400] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02402] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02403] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02405] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.02408] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.02504] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.02510] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.05740] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.07843] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.07864] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.07886] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.07897] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.07910] Returning d3d_display: 00000000006a9f40
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.07915] al_display=00000000006a9f40
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.07918] al_display->vt=00000000006a9dd0
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.07948] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:780  load_library_at_path             [   0.07952] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:783  load_library_at_path             [   0.08010] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.08014] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.08020] added dtor for queue 000000000265ed20, func 00007ffda860c5dc
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.42391] removed dtor for queue 000000000265ed20
d3d      I         d3d_disp.cpp:915  d3d_destroy_display              [   3.42401] destroying display 00000000006a9f40 (current 0000000000000000)
d3d      D         d3d_disp.cpp:899  d3d_destroy_display_internals    [   3.42692] waiting for display 00000000006a9f40's thread to end
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   3.43687] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1562 d3d_display_thread_proc          [   3.44188] d3d display thread exits
